name;category;img;tag;unity;newproduct
Corbeille asymétrique;Corbeilles et paniers;corbeille-asymetrique.png;corbeille asymetrique;38x28x15cm;true
Corbeille osier ovale;Corbeilles et paniers;corbeille-osier-ovale.png;corbeille osier ovale;53x40x18cm;false
Panier osier ovale tissu ecossais;Corbeilles et paniers;panier-osier-ovale-tissu-ecossais.png;panier osier ovale tissu ecossais;42x32x18cm;false
Panier osier ovale tissu;Corbeilles et paniers;panier-osier-ovale-tissu.png;panier osier ovale tissu;42x32x18cm;false
Corbeille osier tissu naturel 2 anses;Corbeilles et paniers;corbeille-osier-tissu-naturel-2-anses.png;corbeille osier tissu naturel 2 anses;53x40x18cm;false
Corbeille osier marron/blanc;Corbeilles et paniers;corbeille-osier-marron-blanc.png;corbeille osier marron blanc;50x37x20cm;false
Boîte à musique;Boites métal;boite-a-musique.png;Boîte à musique;D10.8x14cm;false
Boite carrer Noël;Boites métal;boite-carrer-noel.png;Boite carrer noël;15.5x15.5x6.5cm;false
Boite carton forme sucre d'orge;Valisettes;boite-carton-forme-sucre-d-orge.png;boite carton forme sucre d'orge;25x12.5x5cm;false
Boite cylindre père noël;Boites métal;boite-cylindre-pn.png;boite cylindre père noël;D8.5x25cm;false
Boite métal caravane;Boites métal;boite-metal-caravane.png;boite metal caravane;190x150x59mm;false
Boite métal carrousel;Boites métal;boite-metal-carrousel.png;boite metal carrousel;D140x110mm;false
Boite métal Cassnoisettes;Boites métal;boite-metal-cassnoisettes.png;boite metal cassnoisettes;D85xh250mm;false
Boite métal distributrice;Boites métal;boite-metal-distributrice.png;boite metal distributrice; -;false
Boite métal grande roue;Boites métal;boite-metal-grande-roue.png;boite metal grande roue;190x170x45mm;false
Boite métal pickup;Boites métal;boite-metal-pickup.png;boite metal pickup;190x156x56mm;false
Boite métal sapin;Boites métal;boite-metal-sapin.png;boite metal sapin;18.2x14.8x6.6cm;false
Boite père noël culbuto;Boites métal;boite-pn-culbuto.png;boite pere noel culbuto;D14x7.8cm;false
Boite postale us;Boites métal;boite-postale-us.png;boite postale us;15.2x11.2x9.2cm;false
Boite tête chapeau;Boites métal;boite-tete-chapeau.png;boite tete chapeau;D10.5xH14.7cm;false
Boite théâtre Noël;Boites métal;boite-theatre-noel.png;boite theatre noel;200x150x62mm;false
Boite trielire;Boites métal;boite-trielire.png;boite trielire;D8.5x10.2cm;false
Boite voiture;Boites métal;boite-voiture.png;boite voiture;D15x9.5x10cm;false
Botte lin 2 décors;0 à 3 ans;botte-lin-2-decors.png;botte lin 2 decors;45cm;false
Botte style lin gris;0 à 3 ans;botte-style-lin-gris.png;botte style lin gris;45cm;false
Bottes lin 3 decors;0 à 3 ans;bottes-lin-3-decors.png;bottes lin 3 decors;45cm;false
Boule métal rouge;Boites métal;boule-metal-rouge.png;boule metal rouge;D115mm;false
Box carton cirque;Valisettes;box-carton-cirque.png;box carton cirque;15x14x9.5cm;false
Box carton Noël 2;Valisettes;box-carton-noel-2.png;box carton noel 2;18x12.5x7cm;false
Box carton Noël 3;Valisettes;box-carton-noel-3.png;box carton noel 3;13x13x13cm;false
Box carton Noël;Valisettes;box-carton-noel.png;box carton noel;13x13x13cm;false
Pochon forme de botte;0 à 3 ans;pochon-forme-de-botte.png;pochon forme de botte;33cm;false
Pochon sanimaux;0 à 3 ans;pochon-sanimaux.png;pochon sanimaux;25cm;false
Pochon style lin 2;0 à 3 ans;pochon-style-lin-2.png;pochon style lin 2;26cm;false
Pochon style lin 3;0 à 3 ans;pochon-style-lin-3.png;pochon style lin 3;26cm;false
Pochon style lin 4;0 à 3 ans;pochon-style-lin-4.png;pochon style lin 4;26cm;false
Pochon style lin;0 à 3 ans;pochon-style-lin.png;pochon style lin;18x18cm;false
Pochons style lin 2;0 à 3 ans;pochons-style-lin-2.png;pochons style lin 2;18x18cm;false
Sac à dos ficelles;11 ans et +;sac-a-dos-ficelles.png;sac a dos ficelles;40x34cm;false
Sac à dos poche;11 ans et +;sac-a-dos-poche.png;sac a dos poche;38x29x11.5cm;false
Sac asymètrique;11 ans et +;sac-asymetrique.png;sac asymetrique;47x34x14cm;false
Sac dalmatien;11 ans et +;sac-dalmatien.png;sac dalmatien;47x34x14cm;false
Sac dos à colorier;11 ans et +;sac-dos-a-colorier.png;sac dos a colorier;35x28cm;false
Sac isotherme 1,5l;11 ans et +;sac-isotherme-1-5l.png;sac isotherme 1.5l;32.5x17.5cm;false
Sac kraft brun;11 ans et +;sac-kraft-brun.png;sac kraft brun;26x16.5cm;false
Sac papier carton;Valisettes;sac-papier-carton.png;sac papier carton;22.5x19x10cm;false
Sachet cello Noël;Sachets cello;sachet-cello-noel.png;sachet cello noel; -;false
Sachet cello botte;Sachets cello;sachet-cello-botte.png;sachet cello botte; -;false
Sachet cello pâques;Sachets cello;sachet-cello-paques.png;sachet cello paques; -;false
Sachet cone Noël;Sachets cello;sachet-cone-noel.png;sachet cone noel;32x51cm;false
Sachet père Noël;Sachets cello;sachet-pere-noel.png;sachet pere noel;20cm;false
Seau feutrine pn;0 à 3 ans;seau-feutrine-pn.png;seau feutrine pn;D11.5x25cm;false
Trousse jeans décor Noël;11 ans et +;trousse-jeans-decor-noel.png;trousse jeans decor noel;23x14cm;false
Valisette métal Noël;Sachets cello;trousse-jeans-decor-noel.png;trousse jeans decor noel;23x14cm;false
